COUNTY,AREA,RISK_VALUE,RISK_SPCTL,ALR_VALB,ALR_VALP,ALR_VALA,SOVI_SPCTL,RESL_SPCTL,RESL_VALUE,CRF_VALUE,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_RISKV,IFLD_ALRB,IFLD_ALRP,IFLD_ALRA,IFLD_RISKV,HRCN_EXP_AREA_RATIO,IFLD_EXP_AREA_RATIO,POPULATION_DENS,BUILDVALUE_DENS,AGRIVALUE_DENS
GREENE,269.90670291000004,23825258.833638612,62.62722646310432,0.002631102601761,6.060704034e-06,0.012078043687639,84.0,3.0,2.301097648,1.659507541,0.001424353854979,6.81927988e-07,0.007696258130266,13683084.850849563,0.00071096491356,3.18362904e-07,0.000250194422844,4958799.88206885,1.0,0.05841518436000207,75.77062658877114,14699761.818523558,1156801.5785962606
GUILFORD,664.27494276,144448528.19024763,93.44783715012723,0.001180856439087,2.154712582e-06,0.011652129006135,31.5,80.0,2.499706318,1.073039523,6.5315033847e-05,5.3114159e-08,0.001990541109486,8424344.286569225,0.000890510018306,8.2087122e-08,0.000791763722711,107852612.79809733,1.0,0.21378626162351339,814.3826677434254,168795276.90616333,101133.45194216068
HALIFAX,737.64311166,32935927.695018597,72.90076335877863,0.001239857302921,5.963315742e-06,0.015875764975105,89.0,15.0,2.379656595,1.676759017,0.00021605461881,1.5445402e-07,0.0058924263688,6211687.32788715,0.000729745359133,6.628343e-07,0.00112277546027,15737962.47341158,1.0,0.06538674116184526,65.88958702620198,16258906.873013718,232493.13426659864
HARNETT,607.29415968,36097912.32115037,75.28625954198473,0.001293870238007,5.60788202e-06,0.010162541310701,12.5,13.0,2.376562199,0.967196854,0.000227354755446,1.63133274e-07,0.00608732163119,6548523.815817519,0.000748542258248,3.16740233e-07,0.000353931312941,16155478.943563288,1.0,0.08880228697479892,219.7551184591033,35265272.44603322,433683.3045435159
HAYWOOD,560.09940597,38931465.476300985,77.19465648854961,0.001820717306066,1.4452472019e-05,0.021035319525824,44.5,72.0,2.485708378,1.229603057,1.0712754656e-05,7.867153e-09,0.000253337003221,169308.43339341413,0.00143911454271,3.327729323e-06,0.002160239416128,24201501.681327317,1.0,0.0633709476898238,110.785691501561,20846112.04466334,41754.538124349725
HENDERSON,378.87162105,53899064.1263052,83.77862595419847,0.001021295223022,8.911743264e-06,0.038317590920765,58.0,50.0,2.443935263,1.322879356,1.6163500054e-05,1.2560868e-08,0.000531695577287,642493.9462307824,0.000694994352605,3.6283181e-08,0.009243631499991,25006621.98521368,0.9990621711660133,0.15972360142501657,306.24885463429194,68531137.71900441,228521.8612047322
HERTFORD,364.03642977,28283524.61173991,68.1615776081425,0.002545317037217,5.70626412e-06,0.014576771389978,89.0,23.0,2.393447083,1.645099734,0.001413073248328,6.53698786e-07,0.007532612484071,16051797.720477177,0.000735163516927,3.2863293e-08,0.000219527797406,7110281.518793362,0.9874356605401009,0.036495327580174035,59.186384213285656,15966369.474814005,492723.28627474554
HOKE,395.63196348,16962510.58172355,50.12722646310432,0.001283117860689,5.793320992e-06,0.009735140059089,50.5,11.0,2.358653678,1.296953196,0.000261045164168,1.83799774e-07,0.006762245955468,3433393.721627801,0.000612936427362,1.3820282e-08,8.9103943086e-05,5650516.261697104,1.0,0.04978233459588941,131.56924820264524,17889258.394962277,249925.42344217974
HYDE,1473.76956987,26764679.36211639,66.4440203562341,0.009238214446526,1.6268099475e-05,0.023940558555438,100.0,59.0,2.46869791,1.721989072,0.006207111681642,4.671483776e-06,0.017673672834719,19871004.297166385,0.000380420463702,6.12886389e-07,0.002323119077804,1646372.1324319644,0.4826051209063427,0.0735627972156408,3.1029274138177385,873589.5904768659,124983.18649383419
IREDELL,603.4235106900001,45554126.43126944,80.78880407124683,0.00108253192381,3.67438375e-06,0.004260777703509,5.0,74.0,2.492138212,0.854564026,1.2059770882e-05,1.0005097e-08,0.001212985021801,635910.1675616167,0.000776466954258,1.6411545e-08,0.000559816890822,29942054.236577753,1.0,0.1393384932282922,309.2173186733146,74517909.85171035,240838.6753671916
