COUNTY,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,E_HU_PER_SQMI,E_HH_PER_SQMI
DAVIE,18.0,4.6,19.0,10.2,10.2,21.4,20.9,18.1,3.6,1.2,16.7,3.3,16.5,1.8,5.0,0.8,8.3,4.1,7.3,0.8,0.4,0.0,3.8,0.3,71.46405719449251,62.44999171551619
DUPLIN,31.6,5.4,22.7,19.7,14.8,19.1,23.7,17.2,6.9,7.2,49.4,1.1,33.7,3.9,5.2,0.9,23.7,21.4,23.2,0.5,0.2,0.4,3.6,0.2,29.292274741976755,24.903036339407766
DURHAM,20.1,4.3,28.0,9.3,11.4,13.8,20.0,9.7,6.9,4.9,57.4,21.3,1.3,2.7,7.0,4.5,8.3,34.0,13.8,5.2,0.2,0.0,3.8,0.4,506.07145028135955,471.1238011666288
EDGECOMBE,35.5,8.6,28.9,14.4,11.6,20.1,22.7,16.0,10.6,0.8,64.6,1.7,23.4,2.2,10.4,1.5,24.1,56.0,5.4,0.2,0.2,0.1,2.5,0.1,45.95833621565193,38.28377484062443
FORSYTH,24.9,5.6,27.3,10.8,10.5,16.4,22.7,12.3,8.3,2.7,44.8,14.4,3.6,2.1,6.6,2.7,13.0,25.2,13.7,2.4,0.2,0.1,2.9,0.5,419.3868171189126,375.3884714314607
FRANKLIN,20.6,5.9,20.1,13.1,9.8,16.9,21.7,16.8,6.9,1.6,37.6,1.7,24.5,2.4,3.2,2.1,13.1,23.5,9.4,0.6,0.3,0.0,3.4,0.3,60.52029903296362,53.82858071158601
GASTON,22.3,4.9,26.2,12.4,10.2,16.4,22.3,14.7,7.0,1.5,30.5,5.7,8.3,1.9,5.4,1.3,14.0,17.0,8.0,1.6,0.2,0.1,3.1,0.3,277.20560144203694,254.18665248640255
GATES,24.0,9.3,20.4,9.5,7.4,21.2,19.6,19.1,4.2,1.0,37.0,0.0,41.8,0.9,3.4,0.6,26.1,31.4,3.2,0.1,0.6,0.0,1.8,0.0,14.1480578223599,12.166331524353481
GRAHAM,21.2,7.7,19.0,15.9,17.7,23.6,20.3,19.6,5.0,1.0,14.6,1.3,27.9,1.0,6.4,1.8,27.1,0.5,4.1,0.0,8.1,0.0,1.7,0.1,18.05684651163669,10.888223645768784
GRANVILLE,23.7,4.7,22.8,14.2,10.6,17.1,20.2,16.4,6.6,1.8,43.7,0.9,19.1,1.5,4.1,6.8,12.7,28.8,9.3,0.7,0.3,0.4,3.7,0.5,45.76019656598873,40.423637329592
GREENE,33.0,5.5,28.2,23.9,16.9,16.5,19.1,20.5,8.2,3.1,54.2,2.6,40.4,4.0,5.5,13.3,21.1,31.9,15.9,0.1,0.7,0.0,5.5,0.1,29.576247537731508,25.467289836964145
GUILFORD,24.1,5.2,28.8,9.9,9.2,15.5,21.9,11.9,8.4,2.5,51.9,14.3,2.9,2.7,6.3,4.1,12.7,33.9,8.6,5.2,0.2,0.0,3.5,0.5,361.2165975261835,329.47012140859374
HALIFAX,38.1,9.3,33.5,18.9,10.3,21.2,21.3,20.1,11.2,0.4,62.5,3.3,24.2,2.1,9.2,2.5,33.2,51.5,3.3,0.9,2.9,0.2,3.7,0.1,34.33149658903477,27.826377824549088
HARNETT,24.7,5.3,25.2,11.8,10.8,13.2,25.5,15.5,7.1,1.9,40.0,1.0,19.1,1.9,4.3,2.4,18.4,20.2,13.7,1.0,0.7,0.2,4.0,0.2,89.50921673264362,80.46282214736817
HAYWOOD,23.4,3.5,23.9,9.6,11.2,25.1,17.9,17.2,5.3,0.6,8.6,2.0,16.6,1.3,4.3,0.9,19.8,0.8,4.5,0.4,0.4,0.0,2.5,0.0,63.319267543552236,47.837651531220416
HENDERSON,19.7,3.5,23.1,8.4,12.3,26.1,18.6,14.8,4.6,2.3,17.8,4.1,15.0,1.5,3.7,1.2,12.3,3.1,10.6,1.3,0.3,0.1,2.0,0.4,152.14942146678914,132.70977488504974
HERTFORD,35.4,7.2,31.4,16.1,10.8,20.4,17.9,20.9,7.7,0.6,67.7,1.3,22.0,1.3,9.0,9.7,23.9,57.9,4.6,1.1,1.1,0.1,2.8,0.2,27.930415839071458,23.65194277207663
HOKE,25.8,6.4,29.8,11.1,11.0,11.0,27.1,18.1,7.8,2.3,62.2,1.6,21.1,2.4,5.2,2.2,13.2,32.4,14.7,1.4,7.0,0.1,5.7,0.9,52.08727988721113,47.36861625802327
HYDE,37.0,8.7,34.8,19.0,13.8,23.4,19.7,18.8,6.0,1.9,43.1,0.0,22.2,0.0,2.2,13.7,29.5,28.5,12.4,0.0,0.6,0.0,1.7,0.0,4.7996088347508055,3.2694171102997998
IREDELL,16.3,4.6,20.9,9.1,9.3,16.3,22.5,11.8,6.1,1.8,25.5,6.2,12.2,2.2,3.3,0.8,7.9,11.4,8.3,2.5,0.1,0.0,2.8,0.4,139.0161320545841,125.86014655702618
JACKSON,29.2,5.9,23.1,10.7,15.1,20.4,16.6,13.2,5.2,2.0,20.3,5.1,16.3,3.0,4.8,8.3,23.8,1.9,6.5,1.1,7.4,0.0,3.2,0.3,54.910348101508504,36.116173259037204
JOHNSTON,19.3,3.7,22.8,10.5,11.2,13.6,24.9,12.8,6.1,2.6,35.2,3.4,14.8,2.9,4.1,0.8,16.5,16.4,14.5,0.7,0.2,0.0,3.0,0.3,107.67197461423824,100.23399996130927
JONES,30.7,4.8,22.8,14.2,12.5,23.2,18.5,20.5,4.2,0.1,38.0,1.2,32.1,1.4,7.8,1.5,24.4,27.7,5.7,1.0,0.7,0.0,2.9,0.0,9.905220671156917,8.093471163089236
LEE,27.0,5.2,25.6,14.9,13.7,16.8,23.8,17.4,8.6,5.4,42.8,4.3,14.2,3.3,4.0,1.6,24.9,18.4,20.0,1.1,0.1,0.0,3.1,0.1,104.1316014955761,94.29085150484207
LENOIR,36.9,7.1,29.3,17.9,10.8,20.9,22.4,23.4,10.3,1.9,51.8,4.5,22.2,3.2,8.6,2.3,21.4,39.8,8.3,0.8,0.1,0.1,2.7,0.1,66.8551613362213,56.79218288990127
LINCOLN,15.9,4.4,18.6,10.2,8.5,18.6,20.8,15.2,4.3,1.2,16.7,2.1,17.4,2.4,3.4,0.8,10.5,5.6,7.6,0.8,0.2,0.0,2.3,0.2,127.4815398271239,118.00027987179888
MCDOWELL,26.5,5.5,16.6,13.8,12.6,20.6,19.6,19.1,5.9,1.2,13.3,1.8,27.9,2.4,6.4,3.2,20.1,3.6,6.5,1.1,0.4,0.0,1.7,0.0,48.47777021945866,41.331572283882046
MACON,27.4,3.5,21.9,10.5,15.5,28.8,17.8,16.9,3.8,2.4,12.2,1.3,15.4,1.3,6.4,0.9,20.3,1.0,7.9,0.9,0.3,0.0,2.0,0.2,52.230580349359975,33.72129934100682
MADISON,22.8,1.7,21.0,11.1,9.0,22.9,17.6,18.5,4.0,0.0,7.2,1.8,23.3,2.4,4.5,4.6,20.7,1.1,2.7,0.4,0.2,0.0,2.1,0.8,24.669988182500436,18.78717906397234
MARTIN,30.0,9.6,27.2,18.0,8.2,24.3,20.3,20.9,7.6,1.1,48.8,2.7,23.3,1.9,9.3,0.7,21.6,41.6,4.4,0.6,0.1,0.1,2.1,0.0,24.337651594429975,20.44643182204002
MECKLENBURG,18.3,4.5,28.8,9.1,11.5,11.6,23.0,8.1,7.6,4.9,54.9,24.6,1.4,2.5,5.6,1.3,7.6,30.9,13.9,6.2,0.2,0.0,3.3,0.4,919.2165863321923,852.9014121767931
